Date,Time,Bucket_ID,Cuke_ID,Activity_score,Droop_score,Squeeze_score,Number_lesions,Bodywall lesions,
11-11-2021,09:40,9,A,NA,1,1,NA,NA,
11-11-2021,09:40,9,B,NA,2,1,NA,NA,
11-11-2021,09:40,10,A,NA,0,0,NA,NA,
11-11-2021,09:40,10,B,NA,1,1,NA,NA,
11-11-2021,09:40,11,A,NA,2,2,NA,NA,
11-11-2021,09:40,11,B,NA,0,1,NA,NA,
11-11-2021,09:40,12,A,NA,1,1,NA,NA,
11-11-2021,09:40,12,B,NA,0,1,NA,NA,
11-11-2021,09:40,13,A,NA,1,1,NA,NA,
11-11-2021,09:40,13,B,NA,1,1,NA,NA,
11-11-2021,09:40,14,A,NA,2,1,NA,NA,1
11-11-2021,09:40,14,B,NA,0,0,NA,NA,
11-11-2021,09:40,15,A,NA,2,1,NA,NA,
11-11-2021,09:40,15,B,NA,1,1,NA,NA,
11-11-2021,09:40,16,A,NA,1,2,NA,NA,
11-11-2021,09:40,16,B,NA,1,1,NA,NA,
11-11-2021,09:40,17,A,NA,2,2,NA,NA,
11-11-2021,09:40,17,B,NA,1,2,NA,NA,
11-11-2021,09:40,18,A,NA,0,0,NA,NA,
11-11-2021,09:40,18,B,NA,1,2,NA,NA,
11-11-2021,09:40,19,A,NA,1,2,NA,NA,
11-11-2021,09:40,19,B,NA,2,1,NA,NA,
11-11-2021,09:40,20,A,NA,2,1,NA,NA,
11-11-2021,09:40,20,B,NA,1,1,NA,NA,
11-11-2021,09:40,21,A,NA,2,2,NA,NA,
11-11-2021,09:40,21,B,NA,2,2,NA,NA,
11-11-2021,09:40,22,A,NA,2,2,NA,NA,
11-11-2021,09:40,22,B,NA,2,1,NA,NA,
11-11-2021,09:40,23,A,NA,1,1,NA,NA,
11-11-2021,09:40,23,B,NA,2,2,NA,NA,
11-11-2021,09:40,24,A,NA,2,2,NA,NA,
11-11-2021,09:40,24,B,NA,2,2,NA,NA,
11-11-2021,09:40,25,A,NA,2,2,NA,NA,
11-11-2021,09:40,25,B,NA,2,2,NA,NA,
11-11-2021,09:40,26,A,NA,1,2,NA,NA,
11-11-2021,09:40,26,B,NA,0,1,NA,NA,
11-11-2021,09:40,27,A,NA,1,1,NA,NA,
11-11-2021,09:40,28,A,NA,1,1,NA,NA,
11-11-2021,09:40,29,A,NA,2,1,NA,NA,
11-11-2021,09:40,30,A,NA,1,1,NA,NA,
12-11-2021,09:40,1,A,NA,2,2,NA,NA,
12-11-2021,09:40,1,B,NA,2,2,NA,NA,
12-11-2021,09:40,2,A,NA,2,2,NA,NA,
12-11-2021,09:40,2,B,NA,2,1,NA,NA,
12-11-2021,09:40,3,A,NA,2,2,NA,NA,
12-11-2021,09:40,3,B,NA,2,2,NA,NA,
12-11-2021,09:40,4,A,NA,2,2,NA,NA,
12-11-2021,09:40,4,B,NA,2,2,NA,NA,
12-11-2021,09:40,5,A,NA,2,2,NA,NA,
12-11-2021,09:40,5,B,NA,1,2,NA,NA,
12-11-2021,09:40,6,A,NA,0,1,NA,NA,
12-11-2021,09:40,6,B,NA,0,1,NA,NA,
12-11-2021,09:40,7,A,NA,1,1,NA,NA,
12-11-2021,09:40,7,B,NA,1,1,NA,NA,
12-11-2021,09:40,8,A,NA,1,1,NA,NA,
12-11-2021,09:40,8,B,NA,1,2,NA,NA,
12-11-2021,09:40,30,A,NA,1,1,NA,NA,
12-11-2021,09:40,10,A,NA,1,1,NA,NA,
12-11-2021,09:40,10,B,NA,1,2,NA,NA,
12-11-2021,09:40,11,A,NA,1,2,NA,NA,
12-11-2021,09:40,11,B,NA,0,0,NA,NA,
12-11-2021,09:40,12,A,NA,0,0,NA,NA,
12-11-2021,09:40,12,B,NA,1,1,NA,NA,
12-11-2021,09:40,14,A,NA,2,1,11 tube feet left behind ,NA,
12-11-2021,09:40,14,B,NA,0,0,NA,NA,
12-11-2021,09:40,28,A,NA,0,1,NA,NA,
12-11-2021,09:40,15,A,NA,2,2,NA,NA,
12-11-2021,09:40,15,B,NA,1,1,NA,NA,
12-11-2021,09:40,16,A,NA,2,2,NA,NA,
12-11-2021,09:40,16,B,NA,1,1,NA,NA,
12-11-2021,09:40,17,A,NA,2,2,NA,NA,
12-11-2021,09:40,17,B,NA,2,2,NA,NA,
12-11-2021,09:40,18,A,NA,2,1,NA,NA,
12-11-2021,09:40,18,B,NA,2,2,NA,NA,
12-11-2021,09:40,19,A,NA,2,2,NA,NA,
12-11-2021,09:40,19,B,NA,2,1,NA,NA,
12-11-2021,09:40,20,A,NA,1,1,NA,NA,
12-11-2021,09:40,20,B,NA,1,1,NA,NA,
12-11-2021,09:40,21,A,NA,2,2,NA,NA,
12-11-2021,09:40,21,B,NA,2,2,NA,NA,
12-11-2021,09:40,22,A,NA,2,2,NA,NA,
12-11-2021,09:40,22,B,NA,2,2,NA,NA,
12-11-2021,09:40,24,A,NA,2,2,NA,NA,
12-11-2021,09:40,24,B,NA,2,1,NA,NA,
12-11-2021,09:40,29,A,NA,1,2,NA,NA,
12-11-2021,09:40,25,A,NA,2,2,NA,NA,
12-11-2021,09:40,25,B,NA,2,2,NA,NA,
12-11-2021,09:40,9,A,NA,2,2,NA,NA,
12-11-2021,09:40,9,B,NA,1,2,NA,NA,
12-11-2021,09:40,23,A,NA,1,1,NA,NA,
12-11-2021,09:40,23,B,NA,2,2,NA,NA,
12-11-2021,09:40,13,A,NA,2,1,NA,NA,
12-11-2021,09:40,13,B,NA,1,1,NA,NA,
12-11-2021,09:40,27,A,NA,2,1,NA,NA,
12-11-2021,09:40,26,A,NA,1,1,NA,NA,
12-11-2021,09:40,26,B,NA,0,1,Starting measuring lesions here,NA,
13-11-2021,09:30,1,A,NA,2,2,3,NA,
13-11-2021,09:30,1,B,NA,2,2,NA,NA,
13-11-2021,09:30,2,A,NA,2,1,NA,NA,
13-11-2021,09:30,2,B,NA,2,1,NA,NA,
13-11-2021,09:30,3,A,NA,2,2,NA,NA,
13-11-2021,09:30,3,B,NA,2,2,NA,NA,
13-11-2021,09:30,4,A,NA,2,2,NA,NA,
13-11-2021,09:30,4,B,NA,2,2,NA,NA,
13-11-2021,09:30,5,A,NA,2,1,NA,NA,
13-11-2021,09:30,5,B,NA,2,2,NA,NA,
13-11-2021,09:30,6,A,NA,2,1,1,NA,
13-11-2021,09:30,6,B,NA,2,2,NA,NA,
13-11-2021,09:30,7,A,NA,NA,NA,NA,NA,
13-11-2021,09:30,7,B,NA,1,1,13,NA,
13-11-2021,09:30,8,A,NA,1,1,NA,NA,
13-11-2021,09:30,8,B,NA,0,0,8,* Lesions are severe and bleeding,
13-11-2021,09:30,30,A,NA,2,2,1,NA,
13-11-2021,09:30,10,A,NA,NA,NA,NA,NA,
13-11-2021,09:30,10,B,NA,2,1,NA,NA,
13-11-2021,09:30,11,A,NA,1,2,1,NA,
