Date,Time,Sea_Table,Table_Position,Treatment,Bucket_ID,Cuke_ID,Activity_Score,Droop_score,Squeeze_score,Number_lesions,Bodywall lesions
14-11-2021,10:30,6.00,U,Heat,11,B,NA,1,1,0,0
14-11-2021,10:30,6.00,U,Heat,12,A,NA,0,0,0,0
14-11-2021,10:30,6.00,U,Heat,12,B,NA,1,1,1,0
14-11-2021,10:30,6.00,U,Heat,14,A,NA,1,1,6,0
14-11-2021,10:30,6.00,U,Heat,14,B,NA,NA,NA,NA,NA
14-11-2021,10:30,6.00,U,Heat,28,A,NA,NA,NA,NA,NA
14-11-2021,10:30,6.00,U,Heat,15,A,NA,2,1,2,0
14-11-2021,10:30,6.00,U,Heat,15,B,NA,1,2,0,0
14-11-2021,10:30,4.00,D,Room,16,A,NA,1,2,2,0
14-11-2021,10:30,4.00,D,Room,16,B,NA,2,2,0,0
14-11-2021,10:30,4.00,D,Room,17,A,NA,1,2,0,0
14-11-2021,10:30,4.00,D,Room,17,B,NA,1,2,0,0
14-11-2021,10:30,4.00,D,Room,18,A,NA,1,1,1,0
14-11-2021,10:30,4.00,D,Room,18,B,NA,2,2,1,0
14-11-2021,10:30,4.00,D,Room,19,A,NA,2,2,3,0
14-11-2021,10:30,4.00,D,Room,19,B,NA,1,2,4,0
14-11-2021,10:30,4.00,D,Room,20,A,NA,2,2,5,0
14-11-2021,10:30,4.00,D,Room,20,B,NA,2,2,1,1
14-11-2021,10:30,5.00,D,Control,21,A,NA,2,2,3,0
14-11-2021,10:30,5.00,D,Control,21,B,NA,2,1,3,0
14-11-2021,10:30,5.00,D,Control,22,A,NA,2,2,0,0
14-11-2021,10:30,5.00,D,Control,22,B,NA,2,2,2,0
14-11-2021,10:30,5.00,D,Control,24,A,NA,2,2,2,0
14-11-2021,10:30,5.00,D,Control,24,B,NA,2,2,3,0
14-11-2021,10:30,5.00,D,Control,29,A,NA,2,1,2,0
14-11-2021,10:30,5.00,D,Control,25,A,NA,2,2,4,0
14-11-2021,10:30,5.00,D,Control,25,B,NA,2,2,4,0
14-11-2021,10:30,6.00,D,Room,9,A,NA,2,2,1,0
14-11-2021,10:30,6.00,D,Room,9,B,NA,2,2,4,0
14-11-2021,10:30,6.00,D,Room,23,A,NA,1,1,0,0
14-11-2021,10:30,6.00,D,Room,23,B,NA,2,2,0,0
14-11-2021,10:30,6.00,D,Room,13,A,NA,2,2,6,0
14-11-2021,10:30,6.00,D,Room,13,B,NA,2,2,2,0
14-11-2021,10:30,6.00,D,Room,27,A,NA,2,2,0,0
14-11-2021,10:30,6.00,D,Room,26,A,NA,1,1,6,0
14-11-2021,10:30,6.00,D,Room,26,B,NA,1,1,2,0
15-11-2021,11:00,4.00,U,Control,1,A,6,2,2,1,0
15-11-2021,11:00,4.00,U,Control,1,B,4,2,2,0,0
15-11-2021,11:00,4.00,U,Control,2,A,7,2,2,2,0
15-11-2021,11:00,4.00,U,Control,2,B,7,2,2,2,0
15-11-2021,11:00,4.00,U,Control,3,A,1,2,2,1,0
15-11-2021,11:00,4.00,U,Control,3,B,7,2,2,2,0
15-11-2021,11:00,4.00,U,Control,4,A,0,2,2,7,0
15-11-2021,11:00,4.00,U,Control,4,B,1,2,2,1,0
15-11-2021,11:00,4.00,U,Control,5,A,2,2,2,0,0
15-11-2021,11:00,4.00,U,Control,5,B,1,2,2,1,0
15-11-2021,11:00,5.00,U,Heat,6,A,0,2,2,2,0
15-11-2021,11:00,5.00,U,Heat,6,B,0,2,2,0,0
15-11-2021,11:00,5.00,U,Heat,7,A,NA,NA,NA,NA,NA
15-11-2021,11:00,5.00,U,Heat,7,B,9,2,1,8,1
15-11-2021,11:00,5.00,U,Heat,8,A,2,2,1,7,0
15-11-2021,11:00,5.00,U,Heat,8,B,4,2,1,3,0
15-11-2021,11:00,5.00,U,Heat,30,A,NA,2,2,2,0
15-11-2021,11:00,5.00,U,Heat,10,A,NA,NA,NA,NA,NA
15-11-2021,11:00,5.00,U,Heat,10,B,3,2,2,3,0
15-11-2021,11:00,6.00,U,Heat,11,A,3,2,2,2,0
15-11-2021,11:00,6.00,U,Heat,11,B,1,2,2,,0
15-11-2021,11:00,6.00,U,Heat,12,A,NA,NA,NA,NA,NA
15-11-2021,11:00,6.00,U,Heat,12,B,5,2,2,2,0
15-11-2021,11:00,6.00,U,Heat,14,A,0,1,1,3,0
15-11-2021,11:00,6.00,U,Heat,14,B,NA,NA,NA,NA,NA
15-11-2021,11:00,6.00,U,Heat,28,A,NA,NA,NA,NA,NA
15-11-2021,11:00,6.00,U,Heat,15,A,4,2,2,1,0
15-11-2021,11:00,6.00,U,Heat,15,B,1,2,2,0,0
15-11-2021,11:00,4.00,D,Room,16,A,0,2,2,3,0
15-11-2021,11:00,4.00,D,Room,16,B,3,2,2,0,0
15-11-2021,11:00,4.00,D,Room,17,A,7,1,2,0,0
15-11-2021,11:00,4.00,D,Room,17,B,2,2,1,1,0
15-11-2021,11:00,4.00,D,Room,18,A,5,2,1,1,0
15-11-2021,11:00,4.00,D,Room,18,B,7,2,2,0,0
15-11-2021,11:00,4.00,D,Room,19,A,10,2,2,1,0
15-11-2021,11:00,4.00,D,Room,19,B,0,2,2,2,0
15-11-2021,11:00,4.00,D,Room,20,A,4,1,1,4,0
15-11-2021,11:00,4.00,D,Room,20,B,2,2,1,2,0
15-11-2021,11:00,5.00,D,Control,21,A,4,2,1,2,0
15-11-2021,11:00,5.00,D,Control,21,B,0,2,2,3,0
15-11-2021,11:00,5.00,D,Control,22,A,2,2,2,1,0
15-11-2021,11:00,5.00,D,Control,22,B,3,2,1,0,0
15-11-2021,11:00,5.00,D,Control,24,A,0,2,2,1,0
15-11-2021,11:00,5.00,D,Control,24,B,9,2,2,3,0
15-11-2021,11:00,5.00,D,Control,29,A,NA,1,2,0,0
15-11-2021,11:00,5.00,D,Control,25,A,0,2,2,6,0
